country,hdi,hdi_rank,life_expectancy,expected_schooling,mean_schooling,gni_per_capita_ppp
Iceland,0.972,1,82.7,18.9,13.9,69117
Norway,0.97,2,83.3,18.8,13.1,112710
Switzerland,0.97,2,84.0,16.7,13.9,81949
Denmark,0.962,4,81.9,18.7,13.0,76008
Germany,0.959,5,81.4,17.3,14.3,64053
Sweden,0.959,5,83.3,19.0,12.7,66102
Australia,0.958,7,83.9,20.7,12.9,58277
"Hong Kong, China (SAR)",0.955,8,85.5,16.9,12.4,69436
Netherlands,0.955,8,82.2,18.6,12.7,68344
Belgium,0.951,10,82.1,19.0,12.7,63582
Ireland,0.949,11,82.4,19.2,11.7,90885
Finland,0.948,12,81.9,19.5,13.0,57068
Singapore,0.946,13,83.7,16.7,12.0,111239
United Kingdom,0.946,13,81.3,17.8,13.5,54372
United Arab Emirates,0.94,15,82.9,15.6,13.0,71142
Canada,0.939,16,82.6,15.9,13.9,54688
Liechtenstein,0.938,17,83.6,15.4,12.4,166812
New Zealand,0.938,17,82.1,19.3,12.9,47260
United States,0.938,17,79.3,15.9,13.9,73650
Korea (Republic of),0.937,20,84.3,16.6,12.7,49726
Slovenia,0.931,21,81.6,17.5,13.0,46361
Austria,0.93,22,82.0,16.3,12.4,63479
Japan,0.925,23,84.7,15.5,12.7,47775
Malta,0.924,24,83.3,15.9,12.4,52155
Luxembourg,0.922,25,82.2,14.4,12.6,85461
France,0.92,26,83.3,16.1,11.8,55060
Israel,0.919,27,82.4,14.9,13.5,48050
Spain,0.918,28,83.7,17.8,10.8,46008
Czechia,0.915,29,79.8,16.8,13.0,45889
Italy,0.915,29,83.7,16.7,10.8,52389
San Marino,0.915,29,85.7,14.6,11.4,64706
Andorra,0.913,32,84.0,14.5,11.6,64631
Cyprus,0.913,32,81.6,16.2,12.6,45394
Greece,0.908,34,81.9,20.8,11.6,35761
Poland,0.906,35,78.6,16.7,13.2,42218
Estonia,0.905,36,79.2,16.0,13.6,40881
Saudi Arabia,0.9,37,78.7,16.9,11.6,50299
Bahrain,0.899,38,81.3,15.9,11.1,52819
Lithuania,0.895,39,76.0,16.5,13.6,41916
Portugal,0.89,40,82.4,17.5,9.7,41064
Croatia,0.889,41,78.6,16.3,12.1,41380
Latvia,0.889,41,76.2,16.5,13.4,37998
Qatar,0.886,43,82.4,13.1,10.8,105353
Slovakia,0.88,44,78.3,14.9,13.1,36793
Chile,0.878,45,81.2,16.9,11.3,28047
Hungary,0.87,46,77.0,15.5,12.3,37236
Argentina,0.865,47,77.4,18.8,11.2,25876
Montenegro,0.862,48,77.1,15.5,12.8,28026
Uruguay,0.862,48,78.1,17.5,10.5,28650
Oman,0.858,50,80.0,13.4,11.9,36096
Türkiye,0.853,51,77.2,19.8,9.0,34507
Kuwait,0.852,52,80.4,15.9,7.6,56612
Antigua and Barbuda,0.851,53,77.6,15.5,11.6,27387
Seychelles,0.848,54,72.9,18.2,11.2,29195
Bulgaria,0.845,55,75.6,15.3,11.5,32175
Romania,0.845,55,75.9,14.1,11.6,39374
Georgia,0.844,57,74.5,16.8,12.7,20753
Saint Kitts and Nevis,0.84,58,72.1,18.4,10.8,29105
Panama,0.839,59,79.6,13.3,10.8,34385
Brunei Darussalam,0.837,60,75.3,13.7,9.3,75827
Kazakhstan,0.837,60,74.4,14.0,12.5,30989
Costa Rica,0.833,62,80.8,16.3,8.8,23417
Serbia,0.833,62,76.8,15.0,11.6,23115
Russian Federation,0.832,64,73.2,13.2,12.4,39222
Belarus,0.824,65,74.4,13.7,12.3,26725
Bahamas,0.82,66,74.6,11.9,12.8,30975
Malaysia,0.819,67,76.7,12.7,11.1,32553
North Macedonia,0.815,68,77.4,14.8,10.2,22128
Armenia,0.811,69,75.7,14.4,11.3,20221
Barbados,0.811,69,76.2,16.6,9.9,17328
Albania,0.81,71,79.6,14.5,10.2,17627
Trinidad and Tobago,0.807,72,73.5,14.2,10.8,27000
Mauritius,0.806,73,74.9,14.2,10.1,27280
Bosnia and Herzegovina,0.804,74,77.8,13.2,11.0,19827
Iran (Islamic Republic of),0.799,75,77.7,14.0,10.8,16096
Saint Vincent and the Grenadines,0.798,76,71.2,16.3,11.3,17247
Thailand,0.798,76,76.4,15.4,9.0,20570
China,0.797,78,78.0,15.5,8.0,22029
Peru,0.794,79,77.7,14.9,10.2,14339
Grenada,0.791,80,75.2,16.6,9.4,14349
Azerbaijan,0.789,81,74.4,12.9,11.1,20668
Mexico,0.789,81,75.1,14.5,9.3,21813
Colombia,0.788,83,77.7,14.3,9.0,18666
Brazil,0.786,84,75.8,15.8,8.4,18011
Palau,0.786,84,69.3,14.1,13.3,16035
Moldova (Republic of),0.785,86,71.2,14.6,11.8,15867
Ukraine,0.779,87,73.4,13.3,11.1,16933
Ecuador,0.777,88,77.4,14.9,9.0,13986
Dominican Republic,0.776,89,73.7,13.6,9.4,22024
Guyana,0.776,89,70.2,13.0,8.7,46959
Sri Lanka,0.776,89,77.5,13.1,10.8,12616
Tonga,0.769,92,72.9,17.8,10.9,7438
Maldives,0.766,93,81.0,12.8,7.4,19317
Viet Nam,0.766,93,74.6,15.5,9.0,13033
Turkmenistan,0.764,95,70.1,13.2,11.2,17716
Algeria,0.763,96,76.3,15.5,7.4,15114
Cuba,0.762,97,78.1,13.9,10.6,8415
Dominica,0.761,98,71.1,14.2,10.1,16001
Paraguay,0.756,99,73.8,14.0,8.9,15252
Egypt,0.754,100,71.6,13.1,10.1,16218
Jordan,0.754,100,77.8,13.1,10.2,9222
Lebanon,0.752,102,77.8,11.7,10.4,11299
Saint Lucia,0.748,103,72.7,12.7,8.6,20900
Mongolia,0.747,104,71.7,13.6,9.4,14787
Tunisia,0.746,105,76.5,14.7,7.6,12011
South Africa,0.741,106,66.1,13.8,11.6,13694
Uzbekistan,0.74,107,72.4,12.5,11.9,8826
Bolivia (Plurinational State of),0.733,108,68.6,15.6,10.0,9445
Gabon,0.733,108,68.3,12.5,9.7,18854
Marshall Islands,0.733,108,66.9,16.4,11.6,7224
Botswana,0.731,111,69.2,11.4,10.5,16984
Fiji,0.731,111,67.3,13.8,10.4,12843
Indonesia,0.728,113,71.1,13.3,8.7,13700
Suriname,0.722,114,73.6,11.0,8.4,17344
Belize,0.721,115,73.6,12.0,8.8,12343
Libya,0.721,115,69.3,12.9,7.8,19831
Jamaica,0.72,117,71.5,12.4,10.0,10057
Kyrgyzstan,0.72,117,71.7,12.7,12.1,6078
Philippines,0.72,117,69.8,12.8,10.0,10731
Morocco,0.71,120,75.3,15.1,6.2,8653
Venezuela (Bolivarian Republic of),0.709,121,72.5,13.0,9.7,7157
Samoa,0.708,122,71.7,12.4,11.3,5952
Nicaragua,0.706,123,74.9,11.5,9.9,6881
Nauru,0.703,124,62.1,12.8,9.4,19642
Bhutan,0.698,125,73.0,13.2,5.8,13843
Eswatini (Kingdom of),0.695,126,64.1,15.2,8.7,9919
Iraq,0.695,126,72.3,12.4,6.8,12654
Tajikistan,0.691,128,71.8,10.8,11.3,5747
Tuvalu,0.689,129,67.1,12.4,10.8,7006
Bangladesh,0.685,130,74.7,12.3,6.8,8498
India,0.685,130,72.0,13.0,6.9,9047
El Salvador,0.678,132,72.1,11.1,7.3,10595
Equatorial Guinea,0.674,133,63.7,12.5,8.3,12762
"Palestine, State of",0.674,133,65.2,13.0,10.1,6547
Cabo Verde,0.668,135,76.1,11.4,6.1,8165
Namibia,0.665,136,67.4,11.8,7.3,10917
Guatemala,0.662,137,72.6,10.7,5.8,12459
Congo,0.649,138,65.8,12.7,8.3,5903
Honduras,0.645,139,72.9,10.2,7.5,6065
Kiribati,0.644,140,66.5,11.9,9.1,4947
Sao Tome and Principe,0.637,141,69.7,12.9,6.0,5583
Timor-Leste,0.634,142,67.7,13.3,6.2,5435
Ghana,0.628,143,65.5,11.4,7.1,6846
Kenya,0.628,143,63.6,11.5,8.6,5608
Nepal,0.622,145,70.4,13.8,4.5,4726
Vanuatu,0.621,146,71.5,11.8,7.2,3404
Lao People's Democratic Republic,0.617,147,69.0,9.6,6.1,8106
Angola,0.616,148,64.6,12.2,6.0,6631
Micronesia (Federated States of),0.615,149,67.2,11.5,7.3,4246
Myanmar,0.609,150,66.9,11.5,6.4,4919
Cambodia,0.606,151,70.7,11.2,5.2,4931
Comoros,0.603,152,66.8,13.3,6.0,3481
Zimbabwe,0.598,153,62.8,11.1,8.9,3511
Zambia,0.595,154,66.3,11.0,7.4,3447
Cameroon,0.588,155,63.7,10.8,6.6,4746
Solomon Islands,0.584,156,70.5,11.3,5.9,2777
Côte d'Ivoire,0.582,157,61.9,11.4,4.9,6735
Uganda,0.582,157,68.3,11.6,6.3,2736
Rwanda,0.578,159,67.8,12.6,4.9,2971
Papua New Guinea,0.576,160,66.1,11.5,5.0,3971
Togo,0.571,161,62.7,13.1,5.9,2856
Syrian Arab Republic,0.564,162,72.1,7.4,5.9,3918
Mauritania,0.563,163,68.5,7.9,4.9,6267
Nigeria,0.56,164,54.5,10.5,7.6,5569
Tanzania (United Republic of),0.555,165,67.0,8.6,6.1,3515
Haiti,0.554,166,64.9,10.9,5.4,2935
Lesotho,0.55,167,57.4,11.0,7.7,3029
Pakistan,0.544,168,67.6,7.9,4.3,5501
Senegal,0.53,169,68.7,9.1,2.9,4202
Gambia,0.524,170,65.9,9.0,4.7,2812
Congo (Democratic Republic of the),0.522,171,61.9,10.9,7.4,1431
Malawi,0.517,172,67.4,9.9,5.2,1634
Benin,0.515,173,60.8,10.4,3.2,3806
Guinea-Bissau,0.514,174,64.1,10.6,3.7,2403
Djibouti,0.513,175,66.0,6.2,4.0,6368
Sudan,0.511,176,66.3,8.6,4.0,2810
Liberia,0.51,177,62.2,10.5,6.2,1538
Eritrea,0.503,178,68.6,7.3,5.1,2029
Guinea,0.5,179,60.7,10.4,2.5,3494
Ethiopia,0.497,180,67.3,9.2,2.4,2796
Afghanistan,0.496,181,66.0,10.8,2.5,1972
Mozambique,0.493,182,63.6,10.8,4.6,1356
Madagascar,0.487,183,63.6,9.1,4.6,1656
Yemen,0.47,184,69.3,7.5,5.5,1018
Sierra Leone,0.467,185,61.8,9.1,3.5,1714
Burkina Faso,0.459,186,61.1,8.7,2.3,2391
Burundi,0.439,187,63.7,9.8,3.5,859
Mali,0.419,188,60.4,7.0,1.6,2342
Niger,0.419,188,61.2,8.3,1.4,1590
Chad,0.416,190,55.1,8.3,2.3,1748
Central African Republic,0.414,191,57.4,7.4,4.0,1100
Somalia,0.404,192,58.8,7.5,1.9,1475
South Sudan,0.388,193,57.6,5.6,5.7,688
